座位编号,座位类型,状态,关联自习室ID.自习室名称,关联自习室ID.ID
room-001-4-3,中央图书馆-4-3,普通,可用,中央图书馆,room-001
room-001-4-4,中央图书馆-4-4,靠窗,可用,中央图书馆,room-001
room-001-4-5,中央图书馆-4-5,有插座,可用,中央图书馆,room-001
room-001-4-6,中央图书馆-4-6,普通,可用,中央图书馆,room-001
room-001-4-7,中央图书馆-4-7,靠窗,可用,中央图书馆,room-001
room-001-4-8,中央图书馆-4-8,有插座,可用,中央图书馆,room-001
room-001-4-9,中央图书馆-4-9,普通,可用,中央图书馆,room-001
room-001-4-10,中央图书馆-4-10,靠窗,可用,中央图书馆,room-001
room-001-5-1,中央图书馆-5-1,有插座,可用,中央图书馆,room-001
room-001-5-2,中央图书馆-5-2,普通,可用,中央图书馆,room-001
room-001-5-3,中央图书馆-5-3,靠窗,可用,中央图书馆,room-001
room-001-5-4,中央图书馆-5-4,有插座,可用,中央图书馆,room-001
room-001-5-5,中央图书馆-5-5,普通,可用,中央图书馆,room-001
room-001-5-6,中央图书馆-5-6,靠窗,可用,中央图书馆,room-001
room-001-5-7,中央图书馆-5-7,有插座,可用,中央图书馆,room-001
room-001-5-8,中央图书馆-5-8,普通,可用,中央图书馆,room-001
room-001-5-9,中央图书馆-5-9,靠窗,可用,中央图书馆,room-001
room-001-5-10,中央图书馆-5-10,有插座,可用,中央图书馆,room-001
room-001-6-1,中央图书馆-6-1,普通,可用,中央图书馆,room-001
room-001-6-2,中央图书馆-6-2,靠窗,可用,中央图书馆,room-001
room-001-6-3,中央图书馆-6-3,有插座,可用,中央图书馆,room-001
room-001-6-4,中央图书馆-6-4,普通,可用,中央图书馆,room-001
room-001-6-5,中央图书馆-6-5,靠窗,可用,中央图书馆,room-001
room-001-6-6,中央图书馆-6-6,有插座,可用,中央图书馆,room-001
room-001-6-7,中央图书馆-6-7,普通,可用,中央图书馆,room-001
room-001-6-8,中央图书馆-6-8,靠窗,可用,中央图书馆,room-001
room-001-6-9,中央图书馆-6-9,有插座,可用,中央图书馆,room-001
room-001-6-10,中央图书馆-6-10,普通,可用,中央图书馆,room-001
room-001-7-1,中央图书馆-7-1,靠窗,可用,中央图书馆,room-001
room-001-7-2,中央图书馆-7-2,有插座,可用,中央图书馆,room-001
room-001-7-3,中央图书馆-7-3,普通,可用,中央图书馆,room-001
room-001-7-4,中央图书馆-7-4,靠窗,可用,中央图书馆,room-001
room-001-7-5,中央图书馆-7-5,有插座,可用,中央图书馆,room-001
room-001-7-6,中央图书馆-7-6,普通,可用,中央图书馆,room-001
room-001-7-7,中央图书馆-7-7,靠窗,可用,中央图书馆,room-001
room-001-7-8,中央图书馆-7-8,有插座,可用,中央图书馆,room-001
room-001-7-9,中央图书馆-7-9,普通,可用,中央图书馆,room-001
room-001-7-10,中央图书馆-7-10,靠窗,可用,中央图书馆,room-001
room-001-8-1,中央图书馆-8-1,有插座,可用,中央图书馆,room-001
room-001-8-2,中央图书馆-8-2,普通,可用,中央图书馆,room-001
room-001-8-3,中央图书馆-8-3,靠窗,可用,中央图书馆,room-001
room-001-8-4,中央图书馆-8-4,有插座,可用,中央图书馆,room-001
room-001-8-5,中央图书馆-8-5,普通,可用,中央图书馆,room-001
room-001-8-6,中央图书馆-8-6,靠窗,可用,中央图书馆,room-001
room-001-8-7,中央图书馆-8-7,有插座,可用,中央图书馆,room-001
room-001-8-8,中央图书馆-8-8,普通,可用,中央图书馆,room-001
room-001-8-9,中央图书馆-8-9,靠窗,可用,中央图书馆,room-001
room-001-8-10,中央图书馆-8-10,有插座,可用,中央图书馆,room-001
room-001-9-1,中央图书馆-9-1,普通,可用,中央图书馆,room-001
room-001-9-2,中央图书馆-9-2,靠窗,可用,中央图书馆,room-001
room-001-9-3,中央图书馆-9-3,有插座,可用,中央图书馆,room-001
room-001-9-4,中央图书馆-9-4,普通,可用,中央图书馆,room-001
room-001-9-5,中央图书馆-9-5,靠窗,可用,中央图书馆,room-001
room-001-9-6,中央图书馆-9-6,有插座,可用,中央图书馆,room-001
room-001-9-7,中央图书馆-9-7,普通,可用,中央图书馆,room-001
room-001-9-8,中央图书馆-9-8,靠窗,可用,中央图书馆,room-001
room-001-9-9,中央图书馆-9-9,有插座,可用,中央图书馆,room-001
room-001-9-10,中央图书馆-9-10,普通,可用,中央图书馆,room-001
room-001-10-1,中央图书馆-10-1,靠窗,可用,中央图书馆,room-001
room-001-10-2,中央图书馆-10-2,有插座,可用,中央图书馆,room-001
room-001-10-3,中央图书馆-10-3,普通,可用,中央图书馆,room-001
room-001-10-4,中央图书馆-10-4,靠窗,可用,中央图书馆,room-001
room-001-10-5,中央图书馆-10-5,有插座,可用,中央图书馆,room-001
room-001-10-6,中央图书馆-10-6,普通,可用,中央图书馆,room-001
room-001-10-7,中央图书馆-10-7,靠窗,可用,中央图书馆,room-001
room-001-10-8,中央图书馆-10-8,有插座,可用,中央图书馆,room-001
room-001-10-9,中央图书馆-10-9,普通,可用,中央图书馆,room-001
room-001-10-10,中央图书馆-10-10,靠窗,可用,中央图书馆,room-001
room-001-11-1,中央图书馆-11-1,有插座,可用,中央图书馆,room-001
room-001-11-2,中央图书馆-11-2,普通,可用,中央图书馆,room-001
room-001-11-3,中央图书馆-11-3,靠窗,可用,中央图书馆,room-001
room-001-11-4,中央图书馆-11-4,有插座,可用,中央图书馆,room-001
room-001-11-5,中央图书馆-11-5,普通,可用,中央图书馆,room-001
room-001-11-6,中央图书馆-11-6,靠窗,可用,中央图书馆,room-001
room-001-11-7,中央图书馆-11-7,有插座,可用,中央图书馆,room-001
room-001-11-8,中央图书馆-11-8,普通,可用,中央图书馆,room-001
room-001-11-9,中央图书馆-11-9,靠窗,可用,中央图书馆,room-001
room-001-11-10,中央图书馆-11-10,有插座,可用,中央图书馆,room-001
room-001-12-1,中央图书馆-12-1,普通,可用,中央图书馆,room-001
room-001-12-2,中央图书馆-12-2,靠窗,可用,中央图书馆,room-001
room-001-12-3,中央图书馆-12-3,有插座,可用,中央图书馆,room-001
room-001-12-4,中央图书馆-12-4,普通,可用,中央图书馆,room-001
room-001-12-5,中央图书馆-12-5,靠窗,可用,中央图书馆,room-001
room-001-12-6,中央图书馆-12-6,有插座,可用,中央图书馆,room-001
room-001-12-7,中央图书馆-12-7,普通,可用,中央图书馆,room-001
room-001-12-8,中央图书馆-12-8,靠窗,可用,中央图书馆,room-001
room-001-12-9,中央图书馆-12-9,有插座,可用,中央图书馆,room-001
room-001-12-10,中央图书馆-12-10,普通,可用,中央图书馆,room-001
room-002-1-1,理科楼自习室-1-1,靠窗,可用,理科楼自习室,room-002
room-002-1-2,理科楼自习室-1-2,有插座,可用,理科楼自习室,room-002
room-002-1-3,理科楼自习室-1-3,普通,可用,理科楼自习室,room-002
room-002-1-4,理科楼自习室-1-4,靠窗,可用,理科楼自习室,room-002
room-002-1-5,理科楼自习室-1-5,有插座,可用,理科楼自习室,room-002
room-002-1-6,理科楼自习室-1-6,普通,可用,理科楼自习室,room-002
room-002-1-7,理科楼自习室-1-7,靠窗,可用,理科楼自习室,room-002
room-002-1-8,理科楼自习室-1-8,有插座,可用,理科楼自习室,room-002
room-002-1-9,理科楼自习室-1-9,普通,可用,理科楼自习室,room-002
room-002-1-10,理科楼自习室-1-10,靠窗,可用,理科楼自习室,room-002
room-002-2-1,理科楼自习室-2-1,有插座,可用,理科楼自习室,room-002
room-002-2-2,理科楼自习室-2-2,普通,可用,理科楼自习室,room-002
room-002-2-3,理科楼自习室-2-3,靠窗,可用,理科楼自习室,room-002
room-002-2-4,理科楼自习室-2-4,有插座,可用,理科楼自习室,room-002
room-002-2-5,理科楼自习室-2-5,普通,可用,理科楼自习室,room-002
room-002-2-6,理科楼自习室-2-6,靠窗,可用,理科楼自习室,room-002
room-002-2-7,理科楼自习室-2-7,有插座,可用,理科楼自习室,room-002
room-002-2-8,理科楼自习室-2-8,普通,可用,理科楼自习室,room-002
room-002-2-9,理科楼自习室-2-9,靠窗,可用,理科楼自习室,room-002
room-002-2-10,理科楼自习室-2-10,有插座,可用,理科楼自习室,room-002
room-002-3-1,理科楼自习室-3-1,普通,可用,理科楼自习室,room-002
room-002-3-2,理科楼自习室-3-2,靠窗,可用,理科楼自习室,room-002
room-002-3-3,理科楼自习室-3-3,有插座,可用,理科楼自习室,room-002
room-002-3-4,理科楼自习室-3-4,普通,可用,理科楼自习室,room-002
room-002-3-5,理科楼自习室-3-5,靠窗,可用,理科楼自习室,room-002
room-002-3-6,理科楼自习室-3-6,有插座,可用,理科楼自习室,room-002
room-002-3-7,理科楼自习室-3-7,普通,可用,理科楼自习室,room-002
room-002-3-8,理科楼自习室-3-8,靠窗,可用,理科楼自习室,room-002
room-002-3-9,理科楼自习室-3-9,有插座,可用,理科楼自习室,room-002
room-002-3-10,理科楼自习室-3-10,普通,可用,理科楼自习室,room-002
room-002-4-1,理科楼自习室-4-1,靠窗,可用,理科楼自习室,room-002
room-002-4-2,理科楼自习室-4-2,有插座,可用,理科楼自习室,room-002
room-002-4-3,理科楼自习室-4-3,普通,可用,理科楼自习室,room-002
room-002-4-4,理科楼自习室-4-4,靠窗,可用,理科楼自习室,room-002
room-002-4-5,理科楼自习室-4-5,有插座,可用,理科楼自习室,room-002
room-002-4-6,理科楼自习室-4-6,普通,可用,理科楼自习室,room-002
room-002-4-7,理科楼自习室-4-7,靠窗,可用,理科楼自习室,room-002
room-002-4-8,理科楼自习室-4-8,有插座,可用,理科楼自习室,room-002
room-002-4-9,理科楼自习室-4-9,普通,可用,理科楼自习室,room-002
room-002-4-10,理科楼自习室-4-10,靠窗,可用,理科楼自习室,room-002
room-002-5-1,理科楼自习室-5-1,有插座,可用,理科楼自习室,room-002
room-002-5-2,理科楼自习室-5-2,普通,可用,理科楼自习室,room-002
room-002-5-3,理科楼自习室-5-3,靠窗,可用,理科楼自习室,room-002
room-002-5-4,理科楼自习室-5-4,有插座,可用,理科楼自习室,room-002
room-002-5-5,理科楼自习室-5-5,普通,可用,理科楼自习室,room-002
room-002-5-6,理科楼自习室-5-6,靠窗,可用,理科楼自习室,room-002
room-002-5-7,理科楼自习室-5-7,有插座,可用,理科楼自习室,room-002
room-002-5-8,理科楼自习室-5-8,普通,可用,理科楼自习室,room-002
room-002-5-9,理科楼自习室-5-9,靠窗,可用,理科楼自习室,room-002
room-002-5-10,理科楼自习室-5-10,有插座,可用,理科楼自习室,room-002
room-002-6-1,理科楼自习室-6-1,普通,可用,理科楼自习室,room-002
room-002-6-2,理科楼自习室-6-2,靠窗,可用,理科楼自习室,room-002
room-002-6-3,理科楼自习室-6-3,有插座,可用,理科楼自习室,room-002
room-002-6-4,理科楼自习室-6-4,普通,可用,理科楼自习室,room-002
room-002-6-5,理科楼自习室-6-5,靠窗,可用,理科楼自习室,room-002
room-002-6-6,理科楼自习室-6-6,有插座,可用,理科楼自习室,room-002
room-002-6-7,理科楼自习室-6-7,普通,可用,理科楼自习室,room-002
room-002-6-8,理科楼自习室-6-8,靠窗,可用,理科楼自习室,room-002
room-002-6-9,理科楼自习室-6-9,有插座,可用,理科楼自习室,room-002
room-002-6-10,理科楼自习室-6-10,普通,可用,理科楼自习室,room-002
room-002-7-1,理科楼自习室-7-1,靠窗,可用,理科楼自习室,room-002
room-002-7-2,理科楼自习室-7-2,有插座,可用,理科楼自习室,room-002
room-002-7-3,理科楼自习室-7-3,普通,可用,理科楼自习室,room-002
room-002-7-4,理科楼自习室-7-4,靠窗,可用,理科楼自习室,room-002
room-002-7-5,理科楼自习室-7-5,有插座,可用,理科楼自习室,room-002
room-002-7-6,理科楼自习室-7-6,普通,可用,理科楼自习室,room-002
room-002-7-7,理科楼自习室-7-7,靠窗,可用,理科楼自习室,room-002
room-002-7-8,理科楼自习室-7-8,有插座,可用,理科楼自习室,room-002
room-002-7-9,理科楼自习室-7-9,普通,可用,理科楼自习室,room-002
room-002-7-10,理科楼自习室-7-10,靠窗,可用,理科楼自习室,room-002
room-002-8-1,理科楼自习室-8-1,有插座,可用,理科楼自习室,room-002
room-002-8-2,理科楼自习室-8-2,普通,可用,理科楼自习室,room-002
room-002-8-3,理科楼自习室-8-3,靠窗,可用,理科楼自习室,room-002
room-002-8-4,理科楼自习室-8-4,有插座,可用,理科楼自习室,room-002
room-002-8-5,理科楼自习室-8-5,普通,可用,理科楼自习室,room-002
room-002-8-6,理科楼自习室-8-6,靠窗,可用,理科楼自习室,room-002
room-002-8-7,理科楼自习室-8-7,有插座,可用,理科楼自习室,room-002
room-002-8-8,理科楼自习室-8-8,普通,可用,理科楼自习室,room-002
room-002-8-9,理科楼自习室-8-9,靠窗,可用,理科楼自习室,room-002
room-002-8-10,理科楼自习室-8-10,有插座,可用,理科楼自习室,room-002
room-003-1-1,综合楼自习室-1-1,靠窗,可用,综合楼自习室,room-003
room-003-1-2,综合楼自习室-1-2,有插座,可用,综合楼自习室,room-003
room-003-1-3,综合楼自习室-1-3,普通,可用,综合楼自习室,room-003
room-003-1-4,综合楼自习室-1-4,靠窗,可用,综合楼自习室,room-003
room-003-1-5,综合楼自习室-1-5,有插座,可用,综合楼自习室,room-003
room-003-1-6,综合楼自习室-1-6,普通,可用,综合楼自习室,room-003
room-003-1-7,综合楼自习室-1-7,靠窗,可用,综合楼自习室,room-003
room-003-1-8,综合楼自习室-1-8,有插座,可用,综合楼自习室,room-003
room-003-1-9,综合楼自习室-1-9,普通,可用,综合楼自习室,room-003
room-003-1-10,综合楼自习室-1-10,靠窗,可用,综合楼自习室,room-003
room-003-2-1,综合楼自习室-2-1,有插座,可用,综合楼自习室,room-003
room-003-2-2,综合楼自习室-2-2,普通,可用,综合楼自习室,room-003
room-003-2-3,综合楼自习室-2-3,靠窗,可用,综合楼自习室,room-003
room-003-2-4,综合楼自习室-2-4,有插座,可用,综合楼自习室,room-003
room-003-2-5,综合楼自习室-2-5,普通,可用,综合楼自习室,room-003
room-003-2-6,综合楼自习室-2-6,靠窗,可用,综合楼自习室,room-003
room-003-2-7,综合楼自习室-2-7,有插座,可用,综合楼自习室,room-003
room-003-2-8,综合楼自习室-2-8,普通,可用,综合楼自习室,room-003
room-003-2-9,综合楼自习室-2-9,靠窗,可用,综合楼自习室,room-003
room-003-2-10,综合楼自习室-2-10,有插座,可用,综合楼自习室,room-003
room-003-3-1,综合楼自习室-3-1,普通,可用,综合楼自习室,room-003
room-003-3-2,综合楼自习室-3-2,靠窗,可用,综合楼自习室,room-003
room-003-3-3,综合楼自习室-3-3,有插座,可用,综合楼自习室,room-003
room-003-3-4,综合楼自习室-3-4,普通,可用,综合楼自习室,room-003
room-003-3-5,综合楼自习室-3-5,靠窗,可用,综合楼自习室,room-003
room-003-3-6,综合楼自习室-3-6,有插座,可用,综合楼自习室,room-003
room-003-3-7,综合楼自习室-3-7,普通,可用,综合楼自习室,room-003
room-003-3-8,综合楼自习室-3-8,靠窗,可用,综合楼自习室,room-003
room-003-3-9,综合楼自习室-3-9,有插座,可用,综合楼自习室,room-003
room-003-3-10,综合楼自习室-3-10,普通,可用,综合楼自习室,room-003
room-003-4-1,综合楼自习室-4-1,靠窗,可用,综合楼自习室,room-003
room-003-4-2,综合楼自习室-4-2,有插座,可用,综合楼自习室,room-003
room-003-4-3,综合楼自习室-4-3,普通,可用,综合楼自习室,room-003
room-003-4-4,综合楼自习室-4-4,靠窗,可用,综合楼自习室,room-003
room-003-4-5,综合楼自习室-4-5,有插座,可用,综合楼自习室,room-003
room-003-4-6,综合楼自习室-4-6,普通,可用,综合楼自习室,room-003
room-003-4-7,综合楼自习室-4-7,靠窗,可用,综合楼自习室,room-003
room-003-4-8,综合楼自习室-4-8,有插座,可用,综合楼自习室,room-003
room-003-4-9,综合楼自习室-4-9,普通,可用,综合楼自习室,room-003
room-003-4-10,综合楼自习室-4-10,靠窗,可用,综合楼自习室,room-003
room-003-5-1,综合楼自习室-5-1,有插座,可用,综合楼自习室,room-003
room-003-5-2,综合楼自习室-5-2,普通,可用,综合楼自习室,room-003
room-003-5-3,综合楼自习室-5-3,靠窗,可用,综合楼自习室,room-003
room-003-5-4,综合楼自习室-5-4,有插座,可用,综合楼自习室,room-003
room-003-5-5,综合楼自习室-5-5,普通,可用,综合楼自习室,room-003
room-003-5-6,综合楼自习室-5-6,靠窗,可用,综合楼自习室,room-003
room-003-5-7,综合楼自习室-5-7,有插座,可用,综合楼自习室,room-003
room-003-5-8,综合楼自习室-5-8,普通,可用,综合楼自习室,room-003
room-003-5-9,综合楼自习室-5-9,靠窗,可用,综合楼自习室,room-003
room-003-5-10,综合楼自习室-5-10,有插座,可用,综合楼自习室,room-003
room-003-6-1,综合楼自习室-6-1,普通,可用,综合楼自习室,room-003
room-003-6-2,综合楼自习室-6-2,靠窗,可用,综合楼自习室,room-003
room-003-6-3,综合楼自习室-6-3,有插座,可用,综合楼自习室,room-003
room-003-6-4,综合楼自习室-6-4,普通,可用,综合楼自习室,room-003
room-003-6-5,综合楼自习室-6-5,靠窗,可用,综合楼自习室,room-003
room-003-6-6,综合楼自习室-6-6,有插座,可用,综合楼自习室,room-003
room-003-6-7,综合楼自习室-6-7,普通,可用,综合楼自习室,room-003
room-003-6-8,综合楼自习室-6-8,靠窗,可用,综合楼自习室,room-003
room-003-6-9,综合楼自习室-6-9,有插座,可用,综合楼自习室,room-003
room-003-6-10,综合楼自习室-6-10,普通,可用,综合楼自习室,room-003
room-004-1-1,文科楼自习室-1-1,靠窗,可用,文科楼自习室,room-004
room-004-1-2,文科楼自习室-1-2,有插座,可用,文科楼自习室,room-004
room-004-1-3,文科楼自习室-1-3,普通,可用,文科楼自习室,room-004
room-004-1-4,文科楼自习室-1-4,靠窗,可用,文科楼自习室,room-004
room-004-1-5,文科楼自习室-1-5,有插座,可用,文科楼自习室,room-004
room-004-1-6,文科楼自习室-1-6,普通,可用,文科楼自习室,room-004
room-004-1-7,文科楼自习室-1-7,靠窗,可用,文科楼自习室,room-004
room-004-1-8,文科楼自习室-1-8,有插座,可用,文科楼自习室,room-004
room-004-1-9,文科楼自习室-1-9,普通,可用,文科楼自习室,room-004
room-004-1-10,文科楼自习室-1-10,靠窗,可用,文科楼自习室,room-004
room-004-2-1,文科楼自习室-2-1,有插座,可用,文科楼自习室,room-004
room-004-2-2,文科楼自习室-2-2,普通,可用,文科楼自习室,room-004
room-004-2-3,文科楼自习室-2-3,靠窗,可用,文科楼自习室,room-004
room-004-2-4,文科楼自习室-2-4,有插座,可用,文科楼自习室,room-004
room-004-2-5,文科楼自习室-2-5,普通,可用,文科楼自习室,room-004
room-004-2-6,文科楼自习室-2-6,靠窗,可用,文科楼自习室,room-004
room-004-2-7,文科楼自习室-2-7,有插座,可用,文科楼自习室,room-004
room-004-2-8,文科楼自习室-2-8,普通,可用,文科楼自习室,room-004
room-004-2-9,文科楼自习室-2-9,靠窗,可用,文科楼自习室,room-004
room-004-2-10,文科楼自习室-2-10,有插座,可用,文科楼自习室,room-004
room-004-3-1,文科楼自习室-3-1,普通,可用,文科楼自习室,room-004
room-004-3-2,文科楼自习室-3-2,靠窗,可用,文科楼自习室,room-004
room-004-3-3,文科楼自习室-3-3,有插座,可用,文科楼自习室,room-004
room-004-3-4,文科楼自习室-3-4,普通,可用,文科楼自习室,room-004
room-004-3-5,文科楼自习室-3-5,靠窗,可用,文科楼自习室,room-004
room-004-3-6,文科楼自习室-3-6,有插座,可用,文科楼自习室,room-004
room-004-3-7,文科楼自习室-3-7,普通,可用,文科楼自习室,room-004
room-004-3-8,文科楼自习室-3-8,靠窗,可用,文科楼自习室,room-004
room-004-3-9,文科楼自习室-3-9,有插座,可用,文科楼自习室,room-004
room-004-3-10,文科楼自习室-3-10,普通,可用,文科楼自习室,room-004
room-004-4-1,文科楼自习室-4-1,靠窗,可用,文科楼自习室,room-004
room-004-4-2,文科楼自习室-4-2,有插座,可用,文科楼自习室,room-004
room-004-4-3,文科楼自习室-4-3,普通,可用,文科楼自习室,room-004
room-004-4-4,文科楼自习室-4-4,靠窗,可用,文科楼自习室,room-004
room-004-4-5,文科楼自习室-4-5,有插座,可用,文科楼自习室,room-004
room-004-4-6,文科楼自习室-4-6,普通,可用,文科楼自习室,room-004
room-004-4-7,文科楼自习室-4-7,靠窗,可用,文科楼自习室,room-004
room-004-4-8,文科楼自习室-4-8,有插座,可用,文科楼自习室,room-004
room-004-4-9,文科楼自习室-4-9,普通,可用,文科楼自习室,room-004
room-004-4-10,文科楼自习室-4-10,靠窗,可用,文科楼自习室,room-004
room-004-5-1,文科楼自习室-5-1,有插座,可用,文科楼自习室,room-004
room-004-5-2,文科楼自习室-5-2,普通,可用,文科楼自习室,room-004
room-004-5-3,文科楼自习室-5-3,靠窗,可用,文科楼自习室,room-004
room-004-5-4,文科楼自习室-5-4,有插座,可用,文科楼自习室,room-004
room-004-5-5,文科楼自习室-5-5,普通,可用,文科楼自习室,room-004
room-004-5-6,文科楼自习室-5-6,靠窗,可用,文科楼自习室,room-004
room-004-5-7,文科楼自习室-5-7,有插座,可用,文科楼自习室,room-004
room-004-5-8,文科楼自习室-5-8,普通,可用,文科楼自习室,room-004
room-004-5-9,文科楼自习室-5-9,靠窗,可用,文科楼自习室,room-004
room-004-5-10,文科楼自习室-5-10,有插座,可用,文科楼自习室,room-004
room-005-1-1,图书馆西区-1-1,靠窗,可用,图书馆西区,room-005
room-005-1-2,图书馆西区-1-2,有插座,可用,图书馆西区,room-005
room-005-1-3,图书馆西区-1-3,普通,可用,图书馆西区,room-005
room-005-1-4,图书馆西区-1-4,靠窗,可用,图书馆西区,room-005
room-005-1-5,图书馆西区-1-5,有插座,可用,图书馆西区,room-005
room-005-1-6,图书馆西区-1-6,普通,可用,图书馆西区,room-005
room-005-1-7,图书馆西区-1-7,靠窗,可用,图书馆西区,room-005
room-005-1-8,图书馆西区-1-8,有插座,可用,图书馆西区,room-005
room-005-1-9,图书馆西区-1-9,普通,可用,图书馆西区,room-005
room-005-1-10,图书馆西区-1-10,靠窗,可用,图书馆西区,room-005
room-005-2-1,图书馆西区-2-1,有插座,可用,图书馆西区,room-005
room-005-2-2,图书馆西区-2-2,普通,可用,图书馆西区,room-005
room-005-2-3,图书馆西区-2-3,靠窗,可用,图书馆西区,room-005
room-005-2-4,图书馆西区-2-4,有插座,可用,图书馆西区,room-005
room-005-2-5,图书馆西区-2-5,普通,可用,图书馆西区,room-005
room-005-2-6,图书馆西区-2-6,靠窗,可用,图书馆西区,room-005
room-005-2-7,图书馆西区-2-7,有插座,可用,图书馆西区,room-005
room-005-2-8,图书馆西区-2-8,普通,可用,图书馆西区,room-005
room-005-2-9,图书馆西区-2-9,靠窗,可用,图书馆西区,room-005
room-005-2-10,图书馆西区-2-10,有插座,可用,图书馆西区,room-005
room-005-3-1,图书馆西区-3-1,普通,可用,图书馆西区,room-005
room-005-3-2,图书馆西区-3-2,靠窗,可用,图书馆西区,room-005
room-005-3-3,图书馆西区-3-3,有插座,可用,图书馆西区,room-005
room-005-3-4,图书馆西区-3-4,普通,可用,图书馆西区,room-005
room-005-3-5,图书馆西区-3-5,靠窗,可用,图书馆西区,room-005
room-005-3-6,图书馆西区-3-6,有插座,可用,图书馆西区,room-005
room-005-3-7,图书馆西区-3-7,普通,可用,图书馆西区,room-005
room-005-3-8,图书馆西区-3-8,靠窗,可用,图书馆西区,room-005
room-005-3-9,图书馆西区-3-9,有插座,可用,图书馆西区,room-005
room-005-3-10,图书馆西区-3-10,普通,可用,图书馆西区,room-005
room-005-4-1,图书馆西区-4-1,靠窗,可用,图书馆西区,room-005
room-005-4-2,图书馆西区-4-2,有插座,可用,图书馆西区,room-005
room-005-4-3,图书馆西区-4-3,普通,可用,图书馆西区,room-005
room-005-4-4,图书馆西区-4-4,靠窗,可用,图书馆西区,room-005
room-005-4-5,图书馆西区-4-5,有插座,可用,图书馆西区,room-005
room-005-4-6,图书馆西区-4-6,普通,可用,图书馆西区,room-005
room-005-4-7,图书馆西区-4-7,靠窗,可用,图书馆西区,room-005
room-005-4-8,图书馆西区-4-8,有插座,可用,图书馆西区,room-005
room-005-4-9,图书馆西区-4-9,普通,可用,图书馆西区,room-005
room-005-4-10,图书馆西区-4-10,靠窗,可用,图书馆西区,room-005
room-005-5-1,图书馆西区-5-1,有插座,可用,图书馆西区,room-005
room-005-5-2,图书馆西区-5-2,普通,可用,图书馆西区,room-005
room-005-5-3,图书馆西区-5-3,靠窗,可用,图书馆西区,room-005
room-005-5-4,图书馆西区-5-4,有插座,可用,图书馆西区,room-005
room-005-5-5,图书馆西区-5-5,普通,可用,图书馆西区,room-005
room-005-5-6,图书馆西区-5-6,靠窗,可用,图书馆西区,room-005
room-005-5-7,图书馆西区-5-7,有插座,可用,图书馆西区,room-005
room-005-5-8,图书馆西区-5-8,普通,可用,图书馆西区,room-005
room-005-5-9,图书馆西区-5-9,靠窗,可用,图书馆西区,room-005
room-005-5-10,图书馆西区-5-10,有插座,可用,图书馆西区,room-005
room-005-6-1,图书馆西区-6-1,普通,可用,图书馆西区,room-005
room-005-6-2,图书馆西区-6-2,靠窗,可用,图书馆西区,room-005
room-005-6-3,图书馆西区-6-3,有插座,可用,图书馆西区,room-005
room-005-6-4,图书馆西区-6-4,普通,可用,图书馆西区,room-005
room-005-6-5,图书馆西区-6-5,靠窗,可用,图书馆西区,room-005
