"number","name.zh_CN","status","creator.number","creator.name","modifier.number","modifier.name","enable","createtime","modifytime","lb77_studyroom_id.number","lb77_studyroom_id.name","lb77_type","lb77_status"
"seat-0035","中央图书馆-3-11",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0036","中央图书馆-3-12",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0037","中央图书馆-4-1",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0038","中央图书馆-4-2",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0039","中央图书馆-4-3",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0040","中央图书馆-4-4",,,,,,,,,"room-001","中央图书馆","有插座","损坏"
"seat-0041","中央图书馆-4-5",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0042","中央图书馆-4-6",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0043","中央图书馆-4-7",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0044","中央图书馆-4-8",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0045","中央图书馆-4-9",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0046","中央图书馆-4-10",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0047","中央图书馆-4-11",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0048","中央图书馆-4-12",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0049","中央图书馆-5-1",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0050","中央图书馆-5-2",,,,,,,,,"room-001","中央图书馆","靠窗","损坏"
"seat-0051","中央图书馆-5-3",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0052","中央图书馆-5-4",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0053","中央图书馆-5-5",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0054","中央图书馆-5-6",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0055","中央图书馆-5-7",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0056","中央图书馆-5-8",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0057","中央图书馆-5-9",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0058","中央图书馆-5-10",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0059","中央图书馆-5-11",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0060","中央图书馆-5-12",,,,,,,,,"room-001","中央图书馆","无","损坏"
"seat-0061","中央图书馆-6-1",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0062","中央图书馆-6-2",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0063","中央图书馆-6-3",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0064","中央图书馆-6-4",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0065","中央图书馆-6-5",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0066","中央图书馆-6-6",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0067","中央图书馆-6-7",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0068","中央图书馆-6-8",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0069","中央图书馆-6-9",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0070","中央图书馆-6-10",,,,,,,,,"room-001","中央图书馆","有插座","损坏"
"seat-0071","中央图书馆-6-11",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0072","中央图书馆-6-12",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0073","中央图书馆-7-1",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0074","中央图书馆-7-2",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0075","中央图书馆-7-3",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0076","中央图书馆-7-4",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0077","中央图书馆-7-5",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0078","中央图书馆-7-6",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0079","中央图书馆-7-7",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0080","中央图书馆-7-8",,,,,,,,,"room-001","中央图书馆","靠窗","损坏"
"seat-0081","中央图书馆-7-9",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0082","中央图书馆-7-10",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0083","中央图书馆-7-11",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0084","中央图书馆-7-12",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0085","中央图书馆-8-1",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0086","中央图书馆-8-2",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0087","中央图书馆-8-3",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0088","中央图书馆-8-4",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0089","中央图书馆-8-5",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0090","中央图书馆-8-6",,,,,,,,,"room-001","中央图书馆","无","损坏"
"seat-0091","中央图书馆-8-7",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0092","中央图书馆-8-8",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0093","中央图书馆-8-9",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0094","中央图书馆-8-10",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0095","中央图书馆-8-11",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0096","中央图书馆-8-12",,,,,,,,,"room-001","中央图书馆","无","损坏"
"seat-0097","中央图书馆-9-1",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0098","中央图书馆-9-2",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0099","中央图书馆-9-3",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0100","中央图书馆-9-4",,,,,,,,,"room-001","中央图书馆","有插座","损坏"
"seat-0101","中央图书馆-9-5",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0102","中央图书馆-9-6",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0103","中央图书馆-9-7",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0104","中央图书馆-9-8",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0105","中央图书馆-9-9",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0106","中央图书馆-9-10",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0107","中央图书馆-9-11",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0108","中央图书馆-9-12",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0109","中央图书馆-10-1",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0110","中央图书馆-10-2",,,,,,,,,"room-001","中央图书馆","靠窗","损坏"
"seat-0111","中央图书馆-10-3",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0112","中央图书馆-10-4",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0113","中央图书馆-10-5",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0114","中央图书馆-10-6",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0115","中央图书馆-10-7",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0116","中央图书馆-10-8",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0117","中央图书馆-10-9",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0118","中央图书馆-10-10",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0119","中央图书馆-10-11",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0120","中央图书馆-10-12",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0121","理科楼自习室-1-1",,,,,,,,,"room-002","理科楼自习室","有插座","可用"
"seat-0122","理科楼自习室-1-2",,,,,,,,,"room-002","理科楼自习室","靠窗","可用"
"seat-0123","理科楼自习室-1-3",,,,,,,,,"room-002","理科楼自习室","无","可用"
"seat-0124","理科楼自习室-1-4",,,,,,,,,"room-002","理科楼自习室","有插座","可用"
"seat-0125","理科楼自习室-1-5",,,,,,,,,"room-002","理科楼自习室","靠窗","可用"
"seat-0126","理科楼自习室-1-6",,,,,,,,,"room-002","理科楼自习室","无","可用"
"seat-0127","理科楼自习室-1-7",,,,,,,,,"room-002","理科楼自习室","有插座","可用"
"seat-0128","理科楼自习室-1-8",,,,,,,,,"room-002","理科楼自习室","靠窗","可用"
"seat-0129","理科楼自习室-1-9",,,,,,,,,"room-002","理科楼自习室","无","可用"
"seat-0130","理科楼自习室-1-10",,,,,,,,,"room-002","理科楼自习室","有插座","损坏"
"seat-0131","理科楼自习室-2-1",,,,,,,,,"room-002","理科楼自习室","靠窗","可用"
"seat-0132","理科楼自习室-2-2",,,,,,,,,"room-002","理科楼自习室","无","可用"
"seat-0133","理科楼自习室-2-3",,,,,,,,,"room-002","理科楼自习室","有插座","可用"
"seat-0134","理科楼自习室-2-4",,,,,,,,,"room-002","理科楼自习室","靠窗","可用"
"seat-0135","理科楼自习室-2-5",,,,,,,,,"room-002","理科楼自习室","无","可用"
"seat-0136","理科楼自习室-2-6",,,,,,,,,"room-002","理科楼自习室","有插座","可用"
"seat-0137","理科楼自习室-2-7",,,,,,,,,"room-002","理科楼自习室","靠窗","可用"
"seat-0138","理科楼自习室-2-8",,,,,,,,,"room-002","理科楼自习室","无","可用"
"seat-0139","理科楼自习室-2-9",,,,,,,,,"room-002","理科楼自习室","有插座","可用"
"seat-0140","理科楼自习室-2-10",,,,,,,,,"room-002","理科楼自习室","靠窗","损坏"
"seat-0141","理科楼自习室-3-1",,,,,,,,,"room-002","理科楼自习室","无","可用"
"seat-0142","理科楼自习室-3-2",,,,,,,,,"room-002","理科楼自习室","有插座","可用"
"seat-0143","理科楼自习室-3-3",,,,,,,,,"room-002","理科楼自习室","靠窗","可用"
"seat-0144","理科楼自习室-3-4",,,,,,,,,"room-002","理科楼自习室","无","可用"
"seat-0145","理科楼自习室-3-5",,,,,,,,,"room-002","理科楼自习室","有插座","可用"
"seat-0146","理科楼自习室-3-6",,,,,,,,,"room-002","理科楼自习室","靠窗","可用"
"seat-0147","理科楼自习室-3-7",,,,,,,,,"room-002","理科楼自习室","无","可用"
"seat-0148","理科楼自习室-3-8",,,,,,,,,"room-002","理科楼自习室","有插座","可用"
"seat-0149","理科楼自习室-3-9",,,,,,,,,"room-002","理科楼自习室","靠窗","可用"
"seat-0150","理科楼自习室-3-10",,,,,,,,,"room-002","理科楼自习室","无","损坏"
"seat-0151","理科楼自习室-4-1",,,,,,,,,"room-002","理科楼自习室","有插座","可用"
"seat-0152","理科楼自习室-4-2",,,,,,,,,"room-002","理科楼自习室","靠窗","可用"
"seat-0153","理科楼自习室-4-3",,,,,,,,,"room-002","理科楼自习室","无","可用"
"seat-0154","理科楼自习室-4-4",,,,,,,,,"room-002","理科楼自习室","有插座","可用"
"seat-0155","理科楼自习室-4-5",,,,,,,,,"room-002","理科楼自习室","靠窗","可用"
"seat-0156","理科楼自习室-4-6",,,,,,,,,"room-002","理科楼自习室","无","可用"
"seat-0157","理科楼自习室-4-7",,,,,,,,,"room-002","理科楼自习室","有插座","可用"
"seat-0158","理科楼自习室-4-8",,,,,,,,,"room-002","理科楼自习室","靠窗","可用"
"seat-0159","理科楼自习室-4-9",,,,,,,,,"room-002","理科楼自习室","无","可用"
"seat-0160","理科楼自习室-4-10",,,,,,,,,"room-002","理科楼自习室","有插座","损坏"
"seat-0161","理科楼自习室-5-1",,,,,,,,,"room-002","理科楼自习室","靠窗","可用"
"seat-0162","理科楼自习室-5-2",,,,,,,,,"room-002","理科楼自习室","无","可用"
"seat-0163","理科楼自习室-5-3",,,,,,,,,"room-002","理科楼自习室","有插座","可用"
"seat-0164","理科楼自习室-5-4",,,,,,,,,"room-002","理科楼自习室","靠窗","可用"
"seat-0165","理科楼自习室-5-5",,,,,,,,,"room-002","理科楼自习室","无","可用"
"seat-0166","理科楼自习室-5-6",,,,,,,,,"room-002","理科楼自习室","有插座","可用"
"seat-0167","理科楼自习室-5-7",,,,,,,,,"room-002","理科楼自习室","靠窗","可用"
"seat-0168","理科楼自习室-5-8",,,,,,,,,"room-002","理科楼自习室","无","可用"
"seat-0169","理科楼自习室-5-9",,,,,,,,,"room-002","理科楼自习室","有插座","可用"
"seat-0170","理科楼自习室-5-10",,,,,,,,,"room-002","理科楼自习室","靠窗","损坏"
"seat-0171","理科楼自习室-6-1",,,,,,,,,"room-002","理科楼自习室","无","可用"
"seat-0172","理科楼自习室-6-2",,,,,,,,,"room-002","理科楼自习室","有插座","可用"
"seat-0173","理科楼自习室-6-3",,,,,,,,,"room-002","理科楼自习室","靠窗","可用"
"seat-0174","理科楼自习室-6-4",,,,,,,,,"room-002","理科楼自习室","无","可用"
"seat-0175","理科楼自习室-6-5",,,,,,,,,"room-002","理科楼自习室","有插座","可用"
"seat-0176","理科楼自习室-6-6",,,,,,,,,"room-002","理科楼自习室","靠窗","可用"
"seat-0177","理科楼自习室-6-7",,,,,,,,,"room-002","理科楼自习室","无","损坏"
"seat-0178","理科楼自习室-6-8",,,,,,,,,"room-002","理科楼自习室","有插座","可用"
"seat-0179","理科楼自习室-6-9",,,,,,,,,"room-002","理科楼自习室","靠窗","可用"
"seat-0180","理科楼自习室-6-10",,,,,,,,,"room-002","理科楼自习室","无","损坏"
"seat-0181","理科楼自习室-7-1",,,,,,,,,"room-002","理科楼自习室","有插座","可用"
"seat-0182","理科楼自习室-7-2",,,,,,,,,"room-002","理科楼自习室","靠窗","可用"
"seat-0183","理科楼自习室-7-3",,,,,,,,,"room-002","理科楼自习室","无","可用"
"seat-0184","理科楼自习室-7-4",,,,,,,,,"room-002","理科楼自习室","有插座","可用"
"seat-0185","理科楼自习室-7-5",,,,,,,,,"room-002","理科楼自习室","靠窗","可用"
"seat-0186","理科楼自习室-7-6",,,,,,,,,"room-002","理科楼自习室","无","可用"
"seat-0187","理科楼自习室-7-7",,,,,,,,,"room-002","理科楼自习室","有插座","可用"
"seat-0188","理科楼自习室-7-8",,,,,,,,,"room-002","理科楼自习室","靠窗","可用"
"seat-0189","理科楼自习室-7-9",,,,,,,,,"room-002","理科楼自习室","无","可用"
"seat-0190","理科楼自习室-7-10",,,,,,,,,"room-002","理科楼自习室","有插座","损坏"
"seat-0191","理科楼自习室-8-1",,,,,,,,,"room-002","理科楼自习室","靠窗","可用"
"seat-0192","理科楼自习室-8-2",,,,,,,,,"room-002","理科楼自习室","无","可用"
"seat-0193","理科楼自习室-8-3",,,,,,,,,"room-002","理科楼自习室","有插座","可用"
"seat-0194","理科楼自习室-8-4",,,,,,,,,"room-002","理科楼自习室","靠窗","可用"
"seat-0195","理科楼自习室-8-5",,,,,,,,,"room-002","理科楼自习室","无","可用"
"seat-0196","理科楼自习室-8-6",,,,,,,,,"room-002","理科楼自习室","有插座","可用"
"seat-0197","理科楼自习室-8-7",,,,,,,,,"room-002","理科楼自习室","靠窗","可用"
"seat-0198","理科楼自习室-8-8",,,,,,,,,"room-002","理科楼自习室","无","可用"
"seat-0199","理科楼自习室-8-9",,,,,,,,,"room-002","理科楼自习室","有插座","可用"
"seat-0200","理科楼自习室-8-10",,,,,,,,,"room-002","理科楼自习室","靠窗","损坏"
"seat-0201","综合楼自习室-1-1",,,,,,,,,"room-003","综合楼自习室","无","可用"
"seat-0202","综合楼自习室-1-2",,,,,,,,,"room-003","综合楼自习室","有插座","可用"
"seat-0203","综合楼自习室-1-3",,,,,,,,,"room-003","综合楼自习室","靠窗","可用"
"seat-0204","综合楼自习室-1-4",,,,,,,,,"room-003","综合楼自习室","无","可用"
"seat-0205","综合楼自习室-1-5",,,,,,,,,"room-003","综合楼自习室","有插座","可用"
"seat-0206","综合楼自习室-1-6",,,,,,,,,"room-003","综合楼自习室","无","可用"
"seat-0207","综合楼自习室-1-7",,,,,,,,,"room-003","综合楼自习室","靠窗","可用"
"seat-0208","综合楼自习室-1-8",,,,,,,,,"room-003","综合楼自习室","有插座","可用"
"seat-0209","综合楼自习室-1-9",,,,,,,,,"room-003","综合楼自习室","靠窗","可用"
"seat-0210","综合楼自习室-1-10",,,,,,,,,"room-003","综合楼自习室","有插座","损坏"
"seat-0211","综合楼自习室-2-1",,,,,,,,,"room-003","综合楼自习室","无","可用"
"seat-0212","综合楼自习室-2-2",,,,,,,,,"room-003","综合楼自习室","有插座","可用"
"seat-0213","综合楼自习室-2-3",,,,,,,,,"room-003","综合楼自习室","靠窗","可用"
"seat-0214","综合楼自习室-2-4",,,,,,,,,"room-003","综合楼自习室","无","可用"
"seat-0215","综合楼自习室-2-5",,,,,,,,,"room-003","综合楼自习室","有插座","可用"
"seat-0216","综合楼自习室-2-6",,,,,,,,,"room-003","综合楼自习室","无","可用"
"seat-0217","综合楼自习室-2-7",,,,,,,,,"room-003","综合楼自习室","靠窗","可用"
"seat-0218","综合楼自习室-2-8",,,,,,,,,"room-003","综合楼自习室","有插座","可用"
"seat-0219","综合楼自习室-2-9",,,,,,,,,"room-003","综合楼自习室","靠窗","可用"
"seat-0220","综合楼自习室-2-10",,,,,,,,,"room-003","综合楼自习室","有插座","损坏"
"seat-0221","综合楼自习室-3-1",,,,,,,,,"room-003","综合楼自习室","无","可用"
"seat-0222","综合楼自习室-3-2",,,,,,,,,"room-003","综合楼自习室","有插座","可用"
"seat-0223","综合楼自习室-3-3",,,,,,,,,"room-003","综合楼自习室","靠窗","可用"
"seat-0224","综合楼自习室-3-4",,,,,,,,,"room-003","综合楼自习室","无","可用"
"seat-0225","综合楼自习室-3-5",,,,,,,,,"room-003","综合楼自习室","有插座","可用"
"seat-0226","综合楼自习室-3-6",,,,,,,,,"room-003","综合楼自习室","无","可用"
"seat-0227","综合楼自习室-3-7",,,,,,,,,"room-003","综合楼自习室","靠窗","可用"
"seat-0228","综合楼自习室-3-8",,,,,,,,,"room-003","综合楼自习室","有插座","可用"
"seat-0229","综合楼自习室-3-9",,,,,,,,,"room-003","综合楼自习室","靠窗","可用"
"seat-0230","综合楼自习室-3-10",,,,,,,,,"room-003","综合楼自习室","有插座","损坏"
"seat-0231","综合楼自习室-4-1",,,,,,,,,"room-003","综合楼自习室","无","可用"
"seat-0232","综合楼自习室-4-2",,,,,,,,,"room-003","综合楼自习室","有插座","可用"
"seat-0233","综合楼自习室-4-3",,,,,,,,,"room-003","综合楼自习室","靠窗","可用"
"seat-0234","综合楼自习室-4-4",,,,,,,,,"room-003","综合楼自习室","无","可用"
"seat-0235","综合楼自习室-4-5",,,,,,,,,"room-003","综合楼自习室","有插座","可用"
"seat-0236","综合楼自习室-4-6",,,,,,,,,"room-003","综合楼自习室","无","可用"
"seat-0237","综合楼自习室-4-7",,,,,,,,,"room-003","综合楼自习室","靠窗","可用"
"seat-0238","综合楼自习室-4-8",,,,,,,,,"room-003","综合楼自习室","有插座","可用"
"seat-0239","综合楼自习室-4-9",,,,,,,,,"room-003","综合楼自习室","靠窗","可用"
"seat-0240","综合楼自习室-4-10",,,,,,,,,"room-003","综合楼自习室","有插座","损坏"
"seat-0241","综合楼自习室-5-1",,,,,,,,,"room-003","综合楼自习室","无","可用"
"seat-0242","综合楼自习室-5-2",,,,,,,,,"room-003","综合楼自习室","有插座","可用"
"seat-0243","综合楼自习室-5-3",,,,,,,,,"room-003","综合楼自习室","靠窗","可用"
"seat-0244","综合楼自习室-5-4",,,,,,,,,"room-003","综合楼自习室","无","可用"
"seat-0245","综合楼自习室-5-5",,,,,,,,,"room-003","综合楼自习室","有插座","可用"
"seat-0246","综合楼自习室-5-6",,,,,,,,,"room-003","综合楼自习室","无","可用"
"seat-0247","综合楼自习室-5-7",,,,,,,,,"room-003","综合楼自习室","靠窗","可用"
"seat-0248","综合楼自习室-5-8",,,,,,,,,"room-003","综合楼自习室","有插座","可用"
"seat-0249","综合楼自习室-5-9",,,,,,,,,"room-003","综合楼自习室","靠窗","可用"
"seat-0250","综合楼自习室-5-10",,,,,,,,,"room-003","综合楼自习室","有插座","损坏"
"seat-0251","综合楼自习室-6-1",,,,,,,,,"room-003","综合楼自习室","无","可用"
"seat-0252","综合楼自习室-6-2",,,,,,,,,"room-003","综合楼自习室","有插座","可用"
"seat-0253","综合楼自习室-6-3",,,,,,,,,"room-003","综合楼自习室","靠窗","可用"
"seat-0254","综合楼自习室-6-4",,,,,,,,,"room-003","综合楼自习室","无","可用"
"seat-0255","综合楼自习室-6-5",,,,,,,,,"room-003","综合楼自习室","有插座","可用"
"seat-0256","综合楼自习室-6-6",,,,,,,,,"room-003","综合楼自习室","无","可用"
"seat-0257","综合楼自习室-6-7",,,,,,,,,"room-003","综合楼自习室","靠窗","可用"
"seat-0258","综合楼自习室-6-8",,,,,,,,,"room-003","综合楼自习室","有插座","可用"
"seat-0259","综合楼自习室-6-9",,,,,,,,,"room-003","综合楼自习室","靠窗","可用"
"seat-0260","综合楼自习室-6-10",,,,,,,,,"room-003","综合楼自习室","有插座","损坏"
"seat-0261","文科楼自习室-1-1",,,,,,,,,"room-004","文科楼自习室","靠窗","可用"
"seat-0262","文科楼自习室-1-2",,,,,,,,,"room-004","文科楼自习室","无","可用"
"seat-0263","文科楼自习室-1-3",,,,,,,,,"room-004","文科楼自习室","有插座","可用"
"seat-0264","文科楼自习室-1-4",,,,,,,,,"room-004","文科楼自习室","靠窗","可用"
"seat-0265","文科楼自习室-1-5",,,,,,,,,"room-004","文科楼自习室","有插座","可用"
"seat-0266","文科楼自习室-1-6",,,,,,,,,"room-004","文科楼自习室","靠窗","可用"
"seat-0267","文科楼自习室-1-7",,,,,,,,,"room-004","文科楼自习室","有插座","可用"
"seat-0268","文科楼自习室-1-8",,,,,,,,,"room-004","文科楼自习室","靠窗","可用"
"seat-0269","文科楼自习室-1-9",,,,,,,,,"room-004","文科楼自习室","无","可用"
"seat-0270","文科楼自习室-1-10",,,,,,,,,"room-004","文科楼自习室","有插座","损坏"
"seat-0271","文科楼自习室-2-1",,,,,,,,,"room-004","文科楼自习室","靠窗","可用"
"seat-0272","文科楼自习室-2-2",,,,,,,,,"room-004","文科楼自习室","无","可用"
"seat-0273","文科楼自习室-2-3",,,,,,,,,"room-004","文科楼自习室","有插座","可用"
"seat-0274","文科楼自习室-2-4",,,,,,,,,"room-004","文科楼自习室","靠窗","可用"
"seat-0275","文科楼自习室-2-5",,,,,,,,,"room-004","文科楼自习室","有插座","可用"
"seat-0276","文科楼自习室-2-6",,,,,,,,,"room-004","文科楼自习室","靠窗","可用"
"seat-0277","文科楼自习室-2-7",,,,,,,,,"room-004","文科楼自习室","有插座","可用"
"seat-0278","文科楼自习室-2-8",,,,,,,,,"room-004","文科楼自习室","靠窗","可用"
"seat-0279","文科楼自习室-2-9",,,,,,,,,"room-004","文科楼自习室","无","可用"
"seat-0280","文科楼自习室-2-10",,,,,,,,,"room-004","文科楼自习室","有插座","损坏"
"seat-0281","文科楼自习室-3-1",,,,,,,,,"room-004","文科楼自习室","靠窗","可用"
"seat-0282","文科楼自习室-3-2",,,,,,,,,"room-004","文科楼自习室","无","可用"
"seat-0283","文科楼自习室-3-3",,,,,,,,,"room-004","文科楼自习室","有插座","可用"
"seat-0284","文科楼自习室-3-4",,,,,,,,,"room-004","文科楼自习室","靠窗","可用"
"seat-0285","文科楼自习室-3-5",,,,,,,,,"room-004","文科楼自习室","有插座","可用"
"seat-0286","文科楼自习室-3-6",,,,,,,,,"room-004","文科楼自习室","靠窗","可用"
"seat-0287","文科楼自习室-3-7",,,,,,,,,"room-004","文科楼自习室","有插座","可用"
"seat-0288","文科楼自习室-3-8",,,,,,,,,"room-004","文科楼自习室","靠窗","可用"
"seat-0289","文科楼自习室-3-9",,,,,,,,,"room-004","文科楼自习室","无","可用"
"seat-0290","文科楼自习室-3-10",,,,,,,,,"room-004","文科楼自习室","有插座","损坏"
"seat-0291","文科楼自习室-4-1",,,,,,,,,"room-004","文科楼自习室","靠窗","可用"
"seat-0292","文科楼自习室-4-2",,,,,,,,,"room-004","文科楼自习室","无","可用"
